sample_id,source,original_index,text,true_label,true_label_name,pred_label,pred_label_name,target_class,target_class_name,outcome,neg_prob,pos_prob,confidence,original_len,tokens
test_22264,test,22264,욕을 바가지고 퍼먹어도 모잘라 호수로 먹는다,0,negative,0,negative,0,negative,TN,0.5187839865684509,0.48121607303619385,0.5187839865684509,10,욕 을 바가지 고 퍼먹어 모 자르다 호수 로 먹다
test_15543,test,15543,빡빡이 빼고 연기 잘하네 ㄷㄷ 코끼리 연기쩌러,1,positive,0,negative,0,negative,FN,0.5348660945892334,0.4651338458061218,0.5348660945892334,7,빡빡이 빼다 연기 ㄷㄷ 코끼리 연기 쩌러
test_30048,test,30048,이게 뭐야? 질질 끌다가 황급히 종영한 듯한 삼류 드라마 같은 전개는?,0,negative,0,negative,0,negative,TN,0.9837669134140015,0.01623314619064331,0.9837669134140015,15,게 뭐 야 ? 질질 끄다 황 급하다 종영 듯 삼류 드라마 같다 전개 ?
test_43365,test,43365,엥 이여자 자기국민 죽여달라고 외국군인 불여들인 여자아님?,0,negative,0,negative,0,negative,TN,0.6734251379966736,0.3265748620033264,0.6734251379966736,16,엥 여자 자기 국민 죽이다 달라 고 외국 군인 불 여 들이다 여 자아 님 ?
test_36983,test,36983,"중반부부터 결말이 보이는 스토리, But CG의 화려함이나 코믹한 요소는 전작과 동일",1,positive,0,negative,0,negative,FN,0.7904949188232422,0.20950505137443542,0.7904949188232422,14,"중반 부 부터 결말 보이다 스토리 , But CG 화려하다 코믹 요소 전작 동일"
test_31700,test,31700,인류에게 그 무거운 영화를 내보인 그들이 써비스로 주는 제대로 즐거운 영화,1,positive,1,positive,1,positive,TP,0.031279221177101135,0.9687208533287048,0.9687208533287048,13,인류 에게 그 무겁다 영화 내보이다 그 써비스 로 주다 제대로 즐겁다 영화
test_4856,test,4856,오유에서 왔어요!,0,negative,0,negative,0,negative,TN,0.8597787618637085,0.14022120833396912,0.8597787618637085,4,오유 에서 오다 !
test_7850,test,7850,프랑스 영화만의 깨알같은 코미디와 매력.,1,positive,1,positive,1,positive,TP,0.023309916257858276,0.9766901135444641,0.9766901135444641,8,프랑스 영화 만의 깨알 같다 코미디 매력 .
test_11908,test,11908,웬만하면안쓰려고했는데 봉준호감독 감많이 떨어졌다 ㅋ,0,negative,0,negative,0,negative,TN,0.7616277933120728,0.23837222158908844,0.7616277933120728,8,웬만하다 쓰다 봉준호 감독 감 많이 떨어지다 ㅋ
test_34941,test,34941,제시가 불쌍하다.. 근데 이거 책이랑 많이 다르다... 책이 오리지날인데,1,positive,0,negative,0,negative,FN,0.5546417832374573,0.4453582167625427,0.5546417832374573,13,제시 불쌍하다 .. 근데 거 책 이랑 많이 다르다 ... 책 오리 지나다
test_23264,test,23264,음식가지고 장난치는 년놈들은 사지를 찢어 본보기로 삼아야한다,0,negative,0,negative,0,negative,TN,0.9556350111961365,0.04436503350734711,0.9556350111961365,12,음식 가지 고 장난 치다 년놈 사지 찢다 본보기 로 삼다 야하다
test_7707,test,7707,비추~ 보면후회 쓰레기,0,negative,0,negative,0,negative,TN,0.9916834831237793,0.00831648986786604,0.9916834831237793,5,비추다 ~ 보다 후회 쓰레기
test_3509,test,3509,존.나 재미없다.,0,negative,0,negative,0,negative,TN,0.995613694190979,0.004386312328279018,0.995613694190979,5,존 . 나 재미없다 .
test_4154,test,4154,애슐리 쥬드의 우아한 매력 .,0,negative,1,positive,1,positive,FP,0.3354916274547577,0.6645082831382751,0.6645082831382751,5,애슐리 쥬드 우아하다 매력 .
test_26892,test,26892,주말에 온가족이 함께 봤습니다 ㅎ ㅎ 볼거리 많고 재미있어요. 엘르패닝 어릴때 모습 신선하고 좋았네요 ㅎ,1,positive,1,positive,1,positive,TP,0.0005560746067203581,0.9994439482688904,0.9994439482688904,19,주말 온 가족 함께 보다 ㅎ ㅎ 볼거리 많다 재미있다 . 엘르 패닝 어리다 때 모습 신선하다 좋다 ㅎ
test_30826,test,30826,결말 되게맘에든다 남자가 여자에게 끝내 못닿고 여자와 같은 길을 것이라는 결말... 생각할게 많은 영화였음!,1,positive,1,positive,1,positive,TP,0.10747244209051132,0.8925275802612305,0.8925275802612305,24,결말 되게 맘 에든 다 남자 여자 에게 끝내 못 닿다 여자 같다 길 을 것 이라는 결말 ... 생각 많다 영화 이다 !
test_38462,test,38462,평점만 보고 봤는데 대실망..!!!도대체 어느부분이 재미있는지 이해불가 -_-;뭐 사운드는 나름 괜찮았지만...진부한 스토리에 기타등등...잘나가는 OVA 보다 수준이 떨어짐차라리 반딧불의 숲으로를 재탕하겠음... -_-결론:보지마삼!,0,negative,0,negative,0,negative,TN,0.9878041744232178,0.012195833958685398,0.9878041744232178,30,평점 만 보고 보다 대 실망 ..!!! 도대체 어느 부분 재미있다 이해 불가 -_-; 뭐 사운드 나름 괜찮다 ... 진부하다 스토리 기타등등 ... 잘나가다 OVA 보다 수준 떨어지다 차라리 반딧불
test_29846,test,29846,케빈 코스트너가 다 망해가고 있다는 증거가 되는 작품,0,negative,0,negative,0,negative,TN,0.5554476380348206,0.44455239176750183,0.5554476380348206,9,케빈 코스트 너 다 망하다 있다 증거 되다 작품
test_3277,test,3277,"이요원, 연기자란 타이틀 다는게 창피하지 싶은데",0,negative,0,negative,0,negative,TN,0.850205659866333,0.14979428052902222,0.850205659866333,8,"이요원 , 연기자 란 타이틀 달다 창피하다 싶다"
test_27442,test,27442,인셉션 친구 ㅋㅋㅋㅋㅋㅋㅋ,0,negative,1,positive,1,positive,FP,0.23881475627422333,0.7611852884292603,0.7611852884292603,3,인셉션 친구 ㅋㅋㅋㅋㅋㅋㅋ
test_22181,test,22181,공포영화의 오랜공식 답습.. 여행-고립-한명씩die.. 전혀 공포스럽지도.. 진부한 내용.. 진짜.. 허접쓰레기 영화.. 마지막 여자 생존의 진부한 결말은 아닌게.. 그나마,0,negative,0,negative,0,negative,TN,0.9786869883537292,0.02131296694278717,0.9786869883537292,30,공포영화 오랜 공식 답습 .. 여행 - 고립 - 명 씩 die .. 전혀 공포 스럽지도 .. 진부하다 내용 .. 진짜 .. 허다 접 쓰레기 영화 .. 마지막 여자 생존
test_47517,test,47517,그렇겠지,1,positive,0,negative,0,negative,FN,0.67615807056427,0.3238418400287628,0.67615807056427,1,그렇다
test_7532,test,7532,닭이 먼저일까 계란이 먼저일까 ...,1,positive,1,positive,1,positive,TP,0.06159113720059395,0.9384089112281799,0.9384089112281799,7,닭 먼저 이다 계란 먼저 이다 ...
test_43081,test,43081,"억지연결전개등등 밑의 댓글들말 틀린거 하나없음,",0,negative,0,negative,0,negative,TN,0.8677127957344055,0.1322871893644333,0.8677127957344055,13,"억 지 연 결전 개 등등 밑 댓글 말 틀리다 하나 없다 ,"
test_47314,test,47314,론 하워드의 불..가능성을 보여준 영화..,0,negative,0,negative,0,negative,TN,0.6514294147491455,0.3485705852508545,0.6514294147491455,9,론 하워드 불 .. 가능성 을 보여주다 영화 ..
test_44361,test,44361,당시에 '천사의 미소'로 방송되었던 재밌게 봤었다.,1,positive,1,positive,1,positive,TP,0.009013445116579533,0.9909865260124207,0.9909865260124207,11,당시 ' 천사 미소 ' 로 방송 되어다 재밌다 보다 .
test_46774,test,46774,전 보고 또보고 살짝 귄태기 느낄때마다 이 영화 보고싶은 사랑하고 싶고 그 느낌이 밀려오는 진짜 정우성에 어울리는 딱 이 남자의 영화입니다.고원원도 너무 사랑스러운 ... 오늘도 갑자기 보고싶어 검색하다 평점 올립니다. 저에겐 10입니다. 저에겐,1,positive,1,positive,1,positive,TP,0.030642231926321983,0.9693577885627747,0.9693577885627747,30,전 보고 또 보고 살짝 귄 태기 느끼다 때 마다 영화 보다 사랑 하고 싶다 그 느낌 밀려오다 진짜 정우성 어울리다 딱 남자 영화 이다 . 고원 원 너무 사랑스럽다
test_42919,test,42919,문근영의 탄생,1,positive,1,positive,1,positive,TP,0.48434552550315857,0.5156545042991638,0.5156545042991638,2,문근영 탄생
test_22797,test,22797,전투방식이 지금봐도 신선한게....무술처럼 공격과 방어의 기본 틀을 기준으로 손으로 쏘는 레이저가 주 공격이고 그걸 팔로 막아내는 식의 공방이 펼쳐진다..이런 방식은 지금 생각해봐도 상당히 독보적이다이런 전투 방식은 우뢰매가 유일하다,1,positive,0,negative,0,negative,FN,0.7718132138252258,0.22818677127361298,0.7718132138252258,30,전투 방식 지금 보다 신선하다 .... 무술 처럼 공격 방어 기본 틀 을 기준 손 쏘다 레이저 주 공격 이고 그걸 팔로 막다 식 공 방이 펼쳐지다 .. 이렇다 방식
test_5886,test,5886,결말이좀.....,1,positive,0,negative,0,negative,FN,0.8031530976295471,0.1968468725681305,0.8031530976295471,2,결말 .....
test_24776,test,24776,아나 왜 미군 의도대로는 다되고 독일군 의도되론 안됨?아주 말도 안된다 어이없음,0,negative,0,negative,0,negative,TN,0.991655707359314,0.008344320580363274,0.991655707359314,18,아 나 왜 미군 의도 대로는 다 되다 독일군 의도 되다 론 안되다 ? 아주 말 안되다 어이없다
test_35629,test,35629,배우들의 연기력은 너무 오버하거나 어색하고 보는 내내 타짜가 생각난다. 중간중간 무슨법칙 하면서 글자 나오고 고스톱중에 호들갑 떨면서 주의 산만시키는 방법등 타짜에서 나오는 장면이 너무 많음.,0,negative,0,negative,0,negative,TN,0.9750969409942627,0.024903016164898872,0.9750969409942627,30,배우 연기력 너무 오버 하 거나 어색하다 보다 내내 타짜 생각나다 . 중간 중간 무슨 법칙 글자 나오다 고스톱 중 호들갑 떨다 주의 산만 시키다 방법 등 타짜 에서 나오다
test_45314,test,45314,와 리뷰가 1개밖에 없냐 테러할 수 있는 절호의 기회다,0,negative,1,positive,1,positive,FP,0.4753991365432739,0.5246008634567261,0.5246008634567261,12,오다 리뷰 1 개 밖에 없다 테러 수 있다 절호 기회 다
test_29468,test,29468,글쎄...데이빗린치가 뛰어난 감독이라는데는 동의하지만...이건 아니다,0,negative,0,negative,0,negative,TN,0.9013494849205017,0.09865054488182068,0.9013494849205017,13,글쎄 ... 데이빗 린치 뛰어나다 감독 이르다 동의 하 지만 ... 이건 아니다
test_2800,test,2800,어렸을 때 봤는데 지금까지 액션영화 보고 재밌다고 생각한 건 이게 처음이었다!,1,positive,1,positive,1,positive,TP,0.08236329257488251,0.9176366925239563,0.9176366925239563,14,어리다 때 보다 지금 까지 액션영화 보고 재밌다 생각 건 게 처음 이다 !
test_24715,test,24715,감독 상어성애자냐?...,0,negative,0,negative,0,negative,TN,0.9958834052085876,0.004116594325751066,0.9958834052085876,5,감독 상어 성애자 냐 ?...
test_17099,test,17099,"모녀지간의 사랑을 느낄수있는., 마음 따듯해지는 영화..",1,positive,1,positive,1,positive,TP,0.03105076774954796,0.9689491987228394,0.9689491987228394,12,"모녀 지 간의 사랑 을 느끼다 ., 마음 따다 해지 영화 .."
test_35019,test,35019,재미도 없고 감동도 없는. 클리셰 투성이인데다 그나마 클리셰조차 적절하게 활용하지 못하는 졸작 영화. 장점이라곤 찾아볼래야 찾아볼 수 없는 영화. 이 영화의 평점이 8.86이라니 잘못됐어도 한참 잘못됐어요. 그래서 안쓰던 평가까지 남깁니다,0,negative,0,negative,0,negative,TN,0.9997077584266663,0.00029226005426608026,0.9997077584266663,30,재미 없다 감동 없다 . 클리셰 투성이 인데 다 그나마 클리셰 조차 적절하다 활용 못 졸작 영화 . 장점 이라곤 찾아보다 래야 찾아보다 수 없다 영화 . 영화 평점 8.86
test_27855,test,27855,전쟁영화는 그냥 좀 만들어라 이상한 스캔들넣지말고,0,negative,0,negative,0,negative,TN,0.8480752110481262,0.15192477405071259,0.8480752110481262,6,전쟁영화 그냥 만들다 이상하다 스캔들 넣다
test_6727,test,6727,자신의 부끄러운 역사를 이리 담담하게 돌아볼 수 있는 독일인의 성숙된 역사의식이 일본과 비교된다. 그러네 어디서 개봉한 거요?,1,positive,1,positive,1,positive,TP,0.054812993854284286,0.945186972618103,0.945186972618103,23,자신 부끄럽다 역사 이리 담담하다 돌아보다 수 있다 독일인 성숙 되다 역사 의식 일본 비교 되다 . 그렇다 어디서 개봉 거 요 ?
test_3014,test,3014,이건 뭐가 크게 잘못되었군!,0,negative,0,negative,0,negative,TN,0.7683920860290527,0.23160789906978607,0.7683920860290527,6,이건 뭐 크게 못 되어다 !
test_33350,test,33350,장진의 모든것이 녹아있는 영화.,1,positive,1,positive,1,positive,TP,0.17957942187786102,0.8204206228256226,0.8204206228256226,6,장진 모든 것 녹다 영화 .
test_7374,test,7374,감독님 직업을 바꾸시는게,0,negative,0,negative,0,negative,TN,0.6685922741889954,0.331407755613327,0.6685922741889954,5,감독 님 직업 을 바꾸다
test_3783,test,3783,후 이제야개봉이군 마지막 내숨이가빠옴 빌리크루덥연기짱 좋은영화,1,positive,1,positive,1,positive,TP,0.03757265955209732,0.9624273180961609,0.9624273180961609,15,후 이제야 개봉 이군 마지막 내 숨 빠옴 빌리다 크루 덥다 연기 짱 좋다 영화
test_6403,test,6403,"""김진숙 씨 말이 오래 기억에 남는다. """"급소를 1cm만 비껴가도 산다. 10초의 시간 차로 삶과 죽음이 엇갈린다."""" 내가 헛되이 산 오늘을 꾸짖듯 삶의 준엄함을 일깨웠다.""",1,positive,1,positive,1,positive,TP,0.2555563747882843,0.7444435954093933,0.7444435954093933,30,""" 김진숙 씨 말 오래 기억 남다 . """" 급소 1 cm 만 비 끼다 산다 . 10초 시간 차로 삶 죽음 엇갈리다 ."""" 내 헛되이 산 오늘 을 꾸짖다"
test_4789,test,4789,아바타 저리가라임.나 볼때 사람들 다 소리치고 박수쳣음. 핑크는 진짜 깜찍함.,1,positive,1,positive,1,positive,TP,0.02955915965139866,0.9704408645629883,0.9704408645629883,17,아바타 저리 라임 . 나 볼때 사람 다 소리 치고 박수 쳣음 . 핑크 진짜 깜찍하다 .
test_30169,test,30169,볼만은 하네,0,negative,1,positive,1,positive,FP,0.1469613015651703,0.8530387282371521,0.8530387282371521,2,볼 만은
test_44891,test,44891,영화로는 만들지 말았어야..,0,negative,0,negative,0,negative,TN,0.9608922004699707,0.03910781070590019,0.9608922004699707,5,영화 로는 만들다 말다 ..
test_21257,test,21257,역시 대단하네요 - KBS 대한민국 공영방송의 힘 -,1,positive,1,positive,1,positive,TP,0.06983033567667007,0.9301697015762329,0.9301697015762329,10,역시 대단하다 - KBS 대한민국 공 영 방송 힘 -
test_49149,test,49149,정말 재밌고 감동깊은 영화다.박세영과 강인 두분 참 잘어울리고 연기실력도 매우 뛰어나요.보는 내내 지루함 없고 정말 착한영화였다.,1,positive,1,positive,1,positive,TP,0.022455183789134026,0.9775447845458984,0.9775447845458984,28,정말 재밌다 감동 깊다 영화 다 . 박세영 강인 두 분 차다 어울리다 연 기 실력 매우 뛰어나다 . 보다 내내 지루함 없다 정말 착하다 영화 이다 .
test_28405,test,28405,이재용감독의발연기bbb,1,positive,0,negative,0,negative,FN,0.98159259557724,0.018407335504889488,0.98159259557724,4,이재용 감독 발연기 bbb
test_7444,test,7444,"감독이 전하는 메시지는 좋았으나... 주인공 남, 여 빼고 외 남자 3명이 받쳐줘야하는 부분에서 연기력이나 행동들이 너무 성의없이 보였다.. 1인4역보다 1인 다역을 하는게 평점은 더 좋지 않았을까? 평점은 남여각각 3점 감독3점 남자3명 -2점",0,negative,0,negative,0,negative,TN,0.8283560872077942,0.17164389789104462,0.8283560872077942,30,"감독 전하 메시지 좋다 ... 주인공 남 , 여 빼다 외 남자 3 명 받치다 야하다 부분 에서 연기력 이나 행동 너무 성의 없이 보이다 .. 1 인 4 역"
test_23193,test,23193,무슨 인도영화도 아니고 노래만 쳐나오고 유치하기 짝이없다 내 시간만 낭비하고 이게 왜 8점이 넘는지 도저히 이해불가,0,negative,0,negative,0,negative,TN,0.998722493648529,0.0012775127543136477,0.998722493648529,22,무슨 인도영화 아니다 노래 만 치다 나오다 유치하다 짝 없다 내 시간 만 낭비하다 게 왜 8 점 넘다 도저히 이해 불가
test_40784,test,40784,너무 재미있게 잘봤어요!!!!,1,positive,1,positive,1,positive,TP,0.005090821534395218,0.9949092268943787,0.9949092268943787,4,너무 재미있다 보다 !!!!
test_22386,test,22386,"로보캅보다 6년이나 뒤에 만들어졌는데.. 완전 개판. 아주 공식에 충실한 영화. 결국 백인 남녀한쌍만 살아남네. 그리고 막판에 막장이야. 상어에다가.. 아주,. 잘 한다.",0,negative,0,negative,0,negative,TN,0.9866209030151367,0.013379102572798729,0.9866209030151367,30,로보캅 보다 6년 이나 뒤 만들어지다 .. 완전 개판 . 아주 공식 충실하다 영화 . 결국 백인 남녀 쌍 만 살아나다 . 그리고 막판 막장 이야 . 상어 에다가 ..
test_23773,test,23773,어차피 반전예상은 절대 못할거니까 걍 맘편하게 보셈,1,positive,1,positive,1,positive,TP,0.06803136318922043,0.9319686889648438,0.9319686889648438,9,어차피 반 전예 상 절대 못 맘 편하다 보다
test_44649,test,44649,완전 시간 낭비네 평점에 낚였당 알바님들 넘 싫어,0,negative,0,negative,0,negative,TN,0.9919929504394531,0.008006976917386055,0.9919929504394531,11,완전 시간 낭비 네 평점 낚였당 알바 님 들다 넘다 싫다
test_45537,test,45537,오랜만에 좋은 영화 봤음.. 연기 참 좋네요,1,positive,1,positive,1,positive,TP,0.04792826250195503,0.9520717263221741,0.9520717263221741,9,오랜 만 좋다 영화 보다 .. 연기 차다 좋다
test_23924,test,23924,아주조아요,1,positive,1,positive,1,positive,TP,0.10250198841094971,0.8974980115890503,0.8974980115890503,2,아주 좋다
test_8318,test,8318,귀여운 야오미 애들이좋아행‥,1,positive,1,positive,1,positive,TP,0.04139987379312515,0.9586001038551331,0.9586001038551331,7,귀엽다 야오 밉다 애 좋다 행 ‥
test_5704,test,5704,이제 봤는데 너무 재밌네요 11한명 다 매력있고 호감임 호주 다니엘도 빨리 돌아왔음 좋겠고 mc분들만 조금 입조심 해주시면 더 좋을 것 같아요,1,positive,1,positive,1,positive,TP,0.007818632759153843,0.9921814203262329,0.9921814203262329,28,이제 보다 너무 재밌다 11 명 다 매력 있다 호감 임 호주 다니엘 빨리 돌아오다 좋다 mc 분 만 조금 입 조심 해주시 면 더 좋다 것 같다
test_29975,test,29975,스티븐시걸 무술 멋지다..ㅋㅋㅋ,1,positive,1,positive,1,positive,TP,0.19544173777103424,0.8045582175254822,0.8045582175254822,5,스티븐시걸 무술 멋지다 .. ㅋㅋㅋ
test_34545,test,34545,스토리는 억지로 진행하며 각 인물의 행동 개연성이 떨어지며 공포영화임에도 무섭기보단 황당하고 역겨운 연출이많아 보기힘들었습니다 각 배우들의 연기또한 미흡하여 총체적난국이였습니다 중소기업청은 보다 세심한 분류작업을통해 더 좋은작품에 투자지원해줘야합니다,0,negative,0,negative,0,negative,TN,0.9861738681793213,0.013826095499098301,0.9861738681793213,30,스토리 억지로 진행 각 인물 행동 개연 성 떨어지다 공포영화 임 에도 무섭다 기 보단 황당하다 역겹다 연출 많다 보기 힘들다 각 배우 연기 또한 미흡하다 총 체적 난국 이다
test_20755,test,20755,짱이야ㅠㅜㅠㅜ머시이서ㅏㅇ숴ㅏㅜㅠㅜ,1,positive,1,positive,1,positive,TP,0.2489028126001358,0.7510972023010254,0.7510972023010254,8,짱 이야 ㅠㅜㅠㅜ 머시 이서 ㅏㅇ 숴 ㅏㅜㅠㅜ
test_43341,test,43341,어설픈액션과비행시뮬의느낌이 영-_-국내흥행못한작품,0,negative,0,negative,0,negative,TN,0.8611507415771484,0.13884922862052917,0.8611507415771484,12,어설프다 액션 비행 시 뮬 느낌 영 -_- 국내 흥행 못 작품
test_14193,test,14193,쓰레기 중에 쓸레기 허접 쓰레기보다 더 쓰레기 애니~~,0,negative,0,negative,0,negative,TN,0.9979010820388794,0.0020989279728382826,0.9979010820388794,11,쓰레기 중 쓸레기 허다 접 쓰레기 보다 더 쓰레기 애니 ~~
test_44132,test,44132,마니마니마ㅁ니마니마니나ㅣ,1,positive,1,positive,1,positive,TP,0.4581816494464874,0.541818380355835,0.541818380355835,7,마니마니 마 ㅁ 니 마니마니 나 ㅣ
test_8264,test,8264,이런 영화가 진정한 영화다,1,positive,1,positive,1,positive,TP,0.1303747594356537,0.8696252703666687,0.8696252703666687,5,이렇다 영화 진정하다 영화 다
test_17166,test,17166,"장르가 공포 영화나, 내용에 반전과 비애가 있다. 공포 영화에 손수건이 필요할듯!",1,positive,1,positive,1,positive,TP,0.05396578088402748,0.9460341930389404,0.9460341930389404,15,"장르 공포 영화 나 , 내용 반전 비애 있다 . 공포 영화 손수건 필요하다 !"
test_33834,test,33834,휴...찹찹하네..,1,positive,0,negative,0,negative,FN,0.8108777403831482,0.18912222981452942,0.8108777403831482,4,휴 ... 찹찹하다 ..
test_13764,test,13764,이건 인간적으로 재미없다,0,negative,0,negative,0,negative,TN,0.966234564781189,0.03376545011997223,0.966234564781189,4,이건 인간 적 재미없다
test_1121,test,1121,진짜 전문성우 개불쌍하다,0,negative,0,negative,0,negative,TN,0.9793096780776978,0.02069033309817314,0.9793096780776978,5,진짜 전 문성우 개 불쌍하다
test_12155,test,12155,서민적이고 소박하지만 크게 스토리가 탄탄하지 않는..,0,negative,1,positive,1,positive,FP,0.08526507019996643,0.914734959602356,0.914734959602356,9,서민 적 이고 소박하다 크게 스토리 탄탄하다 않다 ..
test_34891,test,34891,공영방송에서 이러면안데죠.,0,negative,0,negative,0,negative,TN,0.8646543025970459,0.1353456974029541,0.8646543025970459,6,공 영 방송 에서 이르다 .
